aircraft	aircraft
artist	artist
astronaut	astronaut
athlete	athlete
barn	barn
base	base
baseball	baseball
battery	battery
beach	beach
beaver	beaver
beehive	beehive
bicycle	bicycle
blue	blue
bomb	bomb
boot	boot
bottle	bottle
braid	braid
brass	brass
brave	brave
broccoli	broccoli
broken	broken
bubble	bubble
cafeteria	cafeteria
cake	cake
calculator	calculator
camera	camera
candy	candy
chalk	chalk
cheek	cheek
chin	chin
chocolate	chocolate
circus	circus
coach	coach
coal	coal
coconut	coconut
computer	computer
cook	cook
couch	couch
cough	cough
cowboy	cowboy
crib	crib
dance	dance
dentist	dentist
dictionary	dictionary
dock	dock
dollar	dollar
earthquake	earthquake
electricity	electricity
face	face
fang	fang
fast	fast
firefighter	firefighter
fist	fist
flamingo	flamingo
flashlight	flashlight
flute	flute
fog	fog
freckle	freckle
frog	frog
funny	funny
fur	fur
garbage	garbage
garden	garden
girl	girl
grandfather	grandfather
green	green
guitar	guitar
happy	happy
helicopter	helicopter
hockey	hockey
hopscotch	hopscotch
hungry	hungry
knee	knee
laundry	laundry
lawnmower	lawnmower
leash	leash
lighthouse	lighthouse
lime	lime
lion	lion
lobster	lobster
lunch	lunch
magic	magic
mail	mail
mailbox	mailbox
mattress	mattress
mirror	mirror
mitten	mitten
monster	monster
motorcycle	motorcycle
mushroom	mushroom
music	music
mute	mute
nap	nap
nature	nature
newspaper	newspaper
niece	niece
owl	owl
pajamas	pajamas
park	park
party	party
pawn	pawn
peach	peach
pencil	pencil
penguin	penguin
pepper	pepper
photograph	photograph
photographer	photographer
piano	piano
pineapple	pineapple
pirate	pirate
pizza	pizza
plate	plate
potato	potato
president	president
princess	princess
puppet	puppet
purse	purse
queen	queen
quiet	quiet
race	race
radio	radio
radish	radish
recycle	recycle
rhinoceros	rhinoceros
robot	robot
roof	roof
round	round
rug	rug
sad	sad
salute	salute
scared	scared
seashell	seashell
seesaw	seesaw
shadow	shadow
shark	shark
shipwreck	shipwreck
shirt	shirt
shopping	shopping
singer	singer
skate	skate
skateboard	skateboard
ski	ski
skirt	skirt
soap	soap
soda	soda
softball	softball
song	song
spider	spider
spring	spring
sprinkler	sprinkler
spy	spy
square	square
stiff	stiff
storm	storm
story	story
stove	stove
stripe	stripe
student	student
suitcase	suitcase
sunflower	sunflower
taxi	taxi
teapot	teapot
think	think
throne	throne
tool	tool
torch	torch
tornado	tornado
tractor	tractor
treasure	treasure
triangle	triangle
trip	trip
trumpet	trumpet
tuba	tuba
tusk	tusk
vest	vest
violin	violin
volcano	volcano
waist	waist
wallet	wallet
watermelon	watermelon
wedding	wedding
white	white
wig	wig
windmill	windmill
wink	wink
